MXDnsResponse,TXTDnsResponse,HasSPFInfo,HasDmarcInfo,DomainInAlexaDB,CommonPorts,CreationDate,LastUpdateDate,HttpResponseCode,RegisteredOrg,SubdomainNumber,Entropy,EntropyOfSubDomains,StrangeCharacters,TLD,IpReputation,ConsonantRatio,NumericRatio,SpecialCharRatio,VowelRatio,ConsonantSequence,VowelSequence,NumericSequence,SpecialCharSequence,DomainLength,Class
0,0,0,0,0,0,0,0,0,0,0,4,0,11,496,0,0.6,0.1,0.0,0.2,10,4,1,0,134,1
0,0,0,0,0,0,0,0,0,0,0,4,0,11,496,0,0.7,0.1,0.0,0.2,12,2,2,1,123,1
0,0,0,0,0,0,0,0,0,0,0,4,0,24,496,0,0.6,0.2,0.0,0.2,16,2,3,0,150,1
0,0,0,0,0,0,0,0,0,0,0,4,0,15,496,0,0.6,0.1,0.0,0.1,9,1,2,0,122,1
0,0,0,0,0,0,0,0,0,0,0,4,0,23,496,0,0.6,0.2,0.0,0.1,10,2,2,0,151,1
0,0,0,0,0,0,0,0,0,0,0,4,0,19,496,0,0.6,0.1,0.0,0.2,9,2,2,0,149,1
1,0,1,0,0,0,4,4,2,1,0,3,0,0,127,0,0.5,0.0,0.0,0.4,1,2,1,0,28,1
0,0,0,0,0,0,0,0,0,0,0,4,0,9,496,0,0.7,0.1,0.0,0.2,10,2,2,1,131,1
0,0,0,0,0,1,0,4,2,1,0,3,0,0,96,0,0.5,0.0,0.0,0.4,3,2,1,0,22,1
0,0,0,0,0,0,0,0,0,0,0,4,0,15,496,0,0.6,0.1,0.0,0.2,8,2,2,0,142,1
0,0,0,0,0,0,0,0,0,0,0,4,0,21,496,0,0.6,0.2,0.0,0.2,9,2,2,0,152,1
0,0,0,0,0,0,0,0,0,0,0,4,0,23,496,0,0.6,0.2,0.0,0.1,7,2,2,1,146,1
0,0,0,0,0,0,0,0,0,0,0,4,0,14,496,0,0.6,0.1,0.0,0.2,11,3,2,0,137,1
0,0,0,0,0,0,0,0,0,0,0,5,0,20,496,0,0.7,0.1,0.0,0.1,7,2,2,0,149,1
0,0,0,0,0,0,0,0,0,0,0,5,0,21,496,0,0.6,0.1,0.0,0.1,9,2,2,1,153,1
0,0,0,0,0,0,0,0,0,0,0,4,0,33,496,0,0.6,0.2,0.0,0.1,8,2,3,0,147,1
0,0,0,0,0,0,0,0,0,0,0,4,0,14,496,0,0.7,0.1,0.0,0.2,9,2,2,0,140,1
0,0,0,0,0,0,0,0,0,0,0,4,0,15,496,0,0.6,0.1,0.0,0.2,6,2,2,0,114,1
0,0,0,0,0,0,0,0,0,0,0,4,0,23,496,0,0.6,0.2,0.0,0.2,8,3,2,1,151,1
0,0,0,0,0,0,0,0,0,0,0,4,0,19,496,0,0.6,0.1,0.0,0.2,5,4,2,0,153,1
0,0,0,0,0,0,0,0,0,0,0,4,0,19,496,0,0.6,0.1,0.0,0.2,7,2,3,1,143,1
0,0,0,0,0,0,0,0,0,0,0,4,0,21,496,0,0.6,0.2,0.0,0.2,8,2,3,0,149,1
0,0,0,0,0,0,0,0,0,0,0,4,0,17,496,0,0.6,0.1,0.0,0.1,10,1,2,0,134,1
0,0,0,0,0,0,0,0,0,0,0,4,0,21,496,0,0.6,0.2,0.0,0.1,9,2,2,1,140,1
0,0,0,0,0,0,0,0,0,0,0,4,0,20,496,0,0.6,0.1,0.0,0.1,9,2,3,1,153,1
